sample	group	celltype	timepoint	samplenamefancy	sequencingtype	treatment	tissuetype	species
AlkBm_arm_d0_1	AlkBm_arm_d0	c305	Day 0	d0_1	ARM-seq	AlkBm	Cell	hg38
AlkBm_arm_d0_2	AlkBm_arm_d0	c305	Day 0	d0_2	ARM-seq	AlkBm	Cell	hg38
AlkBm_arm_d0_3	AlkBm_arm_d0	c305	Day 0	d0_3	ARM-seq	AlkBm	Cell	hg38
AlkBm_arm_d14_1	AlkBm_arm_d14	c305	Day 14	d14_1	ARM-seq	AlkBm	Organoid	hg38
AlkBm_arm_d14_2	AlkBm_arm_d14	c305	Day 14	d14_2	ARM-seq	AlkBm	Organoid	hg38
AlkBm_arm_d35_1	AlkBm_arm_d35	c305	Day 35	d35_1	ARM-seq	AlkBm	Organoid	hg38
AlkBm_arm_d35_2	AlkBm_arm_d35	c305	Day 35	d35_2	ARM-seq	AlkBm	Organoid	hg38
AlkBm_arm_d35_3	AlkBm_arm_d35	c305	Day 35	d35_3	ARM-seq	AlkBm	Organoid	hg38
AlkBm_arm_d35_4	AlkBm_arm_d35	c305	Day 35	d35_4	ARM-seq	AlkBm	Organoid	hg38
AlkBm_arm_d35_5	AlkBm_arm_d35	c305	Day 35	d35_5	ARM-seq	AlkBm	Organoid	hg38
AlkBm_arm_d35_6	AlkBm_arm_d35	c305	Day 35	d35_6	ARM-seq	AlkBm	Organoid	hg38
AlkBm_arm_d70_1	AlkBm_arm_d70	c305	Day 70	d70_1	ARM-seq	AlkBm	Organoid	hg38
AlkBm_arm_d70_2	AlkBm_arm_d70	c305	Day 70	d70_2	ARM-seq	AlkBm	Organoid	hg38
AlkBm_arm_d70_3	AlkBm_arm_d70	c305	Day 70	d70_3	ARM-seq	AlkBm	Organoid	hg38
AlkBp_arm_d0_1	AlkBp_arm_d0	c305	Day 0	d0_1	ARM-seq	AlkBp	Cell	hg38
AlkBp_arm_d0_2	AlkBp_arm_d0	c305	Day 0	d0_2	ARM-seq	AlkBp	Cell	hg38
AlkBp_arm_d0_3	AlkBp_arm_d0	c305	Day 0	d0_3	ARM-seq	AlkBp	Cell	hg38
AlkBp_arm_d0_4	AlkBp_arm_d0	c305	Day 0	d0_4	ARM-seq	AlkBp	Cell	hg38
AlkBp_arm_d0_5	AlkBp_arm_d0	c305	Day 0	d0_5	ARM-seq	AlkBp	Cell	hg38
AlkBp_arm_d0_6	AlkBp_arm_d0	c305	Day 0	d0_6	ARM-seq	AlkBp	Cell	hg38
AlkBp_arm_d0_7	AlkBp_arm_d0	c305	Day 0	d0_7	ARM-seq	AlkBp	Cell	hg38
AlkBp_arm_d0_8	AlkBp_arm_d0	c305	Day 0	d0_8	ARM-seq	AlkBp	Cell	hg38
AlkBp_arm_d14_1	AlkBp_arm_d14	c305	Day 14	d14_1	ARM-seq	AlkBp	Organoid	hg38
AlkBp_arm_d14_2	AlkBp_arm_d14	c305	Day 14	d14_2	ARM-seq	AlkBp	Organoid	hg38
AlkBp_arm_d35_1	AlkBp_arm_d35	c305	Day 35	d35_1	ARM-seq	AlkBp	Organoid	hg38
AlkBp_arm_d35_2	AlkBp_arm_d35	c305	Day 35	d35_2	ARM-seq	AlkBp	Organoid	hg38
AlkBp_arm_d35_3	AlkBp_arm_d35	c305	Day 35	d35_3	ARM-seq	AlkBp	Organoid	hg38
AlkBp_arm_d35_4	AlkBp_arm_d35	c305	Day 35	d35_4	ARM-seq	AlkBp	Organoid	hg38
AlkBp_arm_d35_5	AlkBp_arm_d35	c305	Day 35	d35_5	ARM-seq	AlkBp	Organoid	hg38
AlkBp_arm_d70_1	AlkBp_arm_d70	c305	Day 70	d70_1	ARM-seq	AlkBp	Organoid	hg38
AlkBp_arm_d70_2	AlkBp_arm_d70	c305	Day 70	d70_2	ARM-seq	AlkBp	Organoid	hg38